Cluster,MonetaryValue,Frequency,Recency
2,1658.3999999999999,5,74
2,3678.69,3,18
1,294.4,1,309
1,300.93,1,374
2,1729.54,9,35
3,406.76,2,203
3,1079.4,1,231
3,947.61,2,213
2,3447.07,5,1
0,3612.89,6,51
3,451.25,4,286
0,4737.23,10,2
3,552.0,2,109
3,1208.1,4,7
1,320.69,1,290
1,500.24,1,633
3,150.9,1,3
1,917.6999999999999,1,627
1,1511.15,3,412
0,3960.31,7,50
2,3347.38,4,59
3,1196.04,3,71
1,927.6500000000001,3,310
2,2669.22,3,24
3,377.5,2,10
1,383.15,2,389
2,3266.32,4,314
2,1470.22,4,81
3,1474.81,3,4
2,1628.56,5,184
3,425.27000000000004,2,28
1,1668.4,1,378
1,660.8,2,337
1,143.94,1,414
0,3901.11,8,15
1,1433.33,3,402
3,504.84000000000003,1,79
2,2773.42,6,21
1,234.75000000000003,1,590
2,2399.4500000000003,6,71
3,1080.48,2,63
0,4551.27,15,18
1,931.43,1,673
2,2214.9,2,35
3,1435.66,1,45
2,1842.3,7,118
1,205.25,1,413
1,69.3,1,302
2,1136.9,6,322
3,947.36,2,49
3,1390.39,1,148
2,1507.1200000000001,5,49
0,3905.77,8,32
1,773.71,3,308
1,346.9,1,409
2,2404.93,6,74
3,871.45,4,66
3,532.41,4,216
1,202.56,1,656
2,2021.2,4,112
1,391.01,2,385
3,600.39,1,63
2,874.6,6,15
0,3639.35,12,95
0,2301.39,10,0
2,3340.03,4,162
3,1741.41,2,77
3,1201.21,2,194
3,949.3,3,21
3,216.4,1,42
0,4359.32,4,42
3,1103.43,3,84
3,429.01000000000005,1,99
2,2466.85,2,13
1,1158.18,2,682
1,739.2,2,461
1,311.1,1,366
3,144.06,1,2
1,365.31,1,731
0,4085.46,5,20
3,378.98,2,21
3,1002.3100000000001,1,57
3,431.49,1,242
3,365.45,1,43
0,4274.89,5,21
3,688.2,5,155
3,348.57,1,16
3,707.09,1,133
2,2581.04,3,43
2,2555.91,7,65
2,1502.49,4,70
1,398.36,1,604
1,296.65,1,455
3,626.88,1,154
3,937.59,2,18
3,1200.78,4,52
2,957.05,8,9
3,682.1899999999999,2,16
1,132.8,1,422
2,3238.74,5,187
1,3070.54,2,522
1,211.95,1,689
2,2596.23,3,53
3,1065.64,2,53
3,545.99,1,3
3,473.2,1,10
0,4834.85,7,27
1,708.1,1,528
1,917.28,1,431
1,285.29999999999995,1,730
3,1244.66,3,9
1,298.93,1,335
3,424.40000000000003,1,38
3,607.21,3,62
3,379.74,2,165
2,1602.8700000000001,9,15
1,277.4,1,640
1,54.09,2,619
3,349.70000000000005,3,20
1,357.72,1,559
1,2025.39,1,336
2,2995.87,5,95
1,896.0,1,583
3,689.05,4,17
1,787.2,1,408
3,73.5,1,232
2,1508.06,4,133
3,398.27,2,25
1,158.5,1,283
2,3039.03,7,142
1,3084.02,1,428
3,138.03,2,65
3,558.29,1,112
3,1597.76,2,266
1,278.7,1,352
2,2288.62,4,77
2,2322.84,4,27
2,1840.89,5,0
3,636.54,2,63
2,2346.2599999999998,5,78
3,545.68,1,142
3,156.72,2,38
1,883.73,3,497
3,1172.66,3,0
3,717.51,5,81
2,1645.48,6,8
1,316.48,1,527
0,3381.26,9,59
3,1771.2,2,14
3,313.83000000000004,1,29
1,1223.89,2,627
3,981.18,1,130
3,716.35,2,91
2,4279.71,1,58
1,612.94,1,408
3,640.45,2,28
3,841.18,3,29
1,481.88,2,483
1,840.25,1,447
3,316.7,1,35
3,832.39,2,74
3,1021.5,2,46
3,299.58,3,197
3,67.19999999999999,1,165
1,1570.68,5,575
3,824.83,1,78
1,168.0,1,357
3,317.82,1,39
0,4104.75,12,7
1,384.5,1,448
3,603.71,2,49
3,269.96,1,7
1,525.71,2,310
3,1918.01,2,4
1,238.85,1,302
0,4426.92,9,7
1,221.24,1,408
3,402.9,1,260
1,145.92,1,288
3,297.65,1,85
1,52.0,1,644
3,519.61,2,39
3,912.42,2,8
3,717.41,5,226
1,182.45000000000002,1,315
1,568.8199999999999,2,456
2,2062.72,8,35
2,1649.8,8,34
2,4026.4500000000003,4,20
3,386.42,1,77
3,962.9,2,246
3,179.71,1,39
2,1820.4,4,238
2,2254.15,9,3
3,1824.1,2,233
2,2062.67,4,16
3,104.0,1,7
3,718.78,3,38
2,3294.91,6,28
1,1128.15,3,316
2,1723.6399999999999,4,91
3,382.09999999999997,3,108
0,4890.110000000001,14,37
1,281.02,1,504
3,450.27,2,50
2,3195.22,4,18
0,4192.09,10,9
0,2026.72,13,28
2,573.26,6,189
3,153.12,1,58
3,613.1999999999999,1,21
3,236.18,2,78
1,1124.95,3,375
3,1579.51,1,59
1,415.79,1,404
0,3021.86,9,77
2,1747.54,4,22
3,1193.32,1,51
3,668.0400000000001,1,73
3,315.6,1,277
3,1023.1,3,94
3,355.53,1,28
3,137.31,1,21
0,3085.7,9,15
3,1303.41,3,14
3,162.1,1,231
0,3315.84,7,275
3,569.13,2,105
0,4678.88,4,211
0,4082.53,6,10
3,732.46,3,3
1,1198.22,2,385
3,1030.88,2,9
2,3321.57,6,56
1,714.88,2,520
0,5156.16,7,58
1,360.0,1,547
2,2624.41,4,89
3,681.49,2,32
3,1072.37,3,238
3,994.58,3,23
3,145.9,1,114
3,905.26,3,24
2,1900.49,4,129
0,3215.3,8,33
3,1346.97,2,4
3,1039.0,4,154
2,2096.65,8,106
3,242.44000000000003,1,2
1,377.75,4,334
1,891.03,2,330
2,4160.83,3,148
3,529.98,5,10
1,243.35000000000002,1,423
2,1427.18,4,10
3,632.05,1,18
3,73.68,1,29
3,227.1,1,10
1,162.0,1,435
1,185.4,2,624
1,259.6,3,324
1,1248.42,1,393
3,460.13,1,57
3,1427.73,2,150
0,3436.29,7,9
1,2622.481,1,605
1,407.05,2,329
3,1140.02,3,4
2,1844.6,4,38
1,874.5,2,553
0,2333.09,10,24
1,359.1,2,554
3,951.02,4,58
3,790.81,4,0
2,2073.63,6,7
2,2575.08,6,27
1,142.28,1,371
1,1858.91,1,480
2,4873.8099999999995,1,113
3,1139.61,2,25
3,335.01,1,205
2,1044.4,6,27
1,110.95,1,636
2,1415.02,7,126
2,1663.35,3,69
2,1371.1200000000001,7,6
1,731.91,2,434
3,757.59,3,28
1,285.75,1,589
1,566.11,1,417
0,4525.99,4,7
2,2248.41,6,79
3,201.0,1,19
3,898.53,4,70
2,1740.84,8,6
1,603.42,1,291
3,1023.02,3,96
1,1213.05,2,611
3,794.55,1,0
3,273.86,1,105
3,963.49,2,3
3,1058.91,3,150
3,202.25,1,70
3,572.95,2,4
0,3635.08,8,31
3,979.63,4,84
3,707.07,5,3
2,2083.52,7,4
2,2278.56,3,370
0,3690.6,11,27
0,4905.53,10,10
2,926.17,5,70
3,417.01,1,113
1,703.25,1,521
3,218.26000000000002,1,179
2,2424.02,4,233
1,603.65,3,352
1,689.5699999999999,2,314
1,144.0,1,332
1,274.7,1,371
2,2421.23,2,98
3,427.6,1,63
1,236.07,1,532
1,1201.52,1,625
3,546.43,2,133
1,723.85,2,486
1,254.55,1,540
3,275.88,1,128
1,268.27,1,444
2,4366.78,1,80
2,3010.74,3,235
3,112.07999999999998,1,86
0,4199.2,9,15
0,4618.74,8,51
1,317.8,1,455
1,712.95,1,464
3,1702.52,2,7
3,814.16,2,137
1,1693.88,1,316
1,1299.58,6,471
1,949.82,1,375
1,168.69000000000003,1,450
3,1143.6,1,238
2,3246.45,2,210
1,226.3,1,485
3,752.47,1,59
1,124.25,1,563
1,83.7,1,535
2,1551.12,7,16
1,27.5,1,667
1,519.45,1,457
2,1541.68,9,19
1,322.4,1,598
3,786.74,2,63
0,3862.2400000000002,11,4
2,1295.87,4,1
3,1552.75,2,14
1,904.4,3,363
1,668.5,1,609
3,799.18,4,9
1,384.9,4,462
3,225.35,3,64
3,546.85,2,191
1,834.4300000000001,5,373
3,715.01,2,256
1,849.33,3,334
3,860.41,2,52
3,318.48,1,18
1,351.0,1,627
1,694.11,2,365
1,219.35,1,528
1,500.25,2,469
1,871.82,1,500
2,2186.42,5,186
1,1017.81,1,392
1,327.02,2,465
1,1230.95,4,381
1,2558.96,2,571
1,250.35,1,382
3,850.1,5,36
3,1384.3400000000001,3,177
1,534.99,2,534
3,893.9,4,261
3,229.64000000000001,1,44
1,1621.8,3,501
3,85.92,1,101
3,863.46,2,147
3,452.20000000000005,2,95
3,570.98,3,280
3,1182.0800000000002,1,261
1,540.52,1,457
0,2689.52,11,2
3,220.8,2,213
3,948.88,2,70
3,397.12,1,59
1,518.63,2,520
0,2955.75,12,2
3,430.15000000000003,3,5
2,1018.71,6,2
1,385.3,3,336
3,451.11,3,261
3,383.03,2,31
3,417.38,1,144
3,312.38,1,282
3,688.41,2,172
0,3398.48,10,33
0,4041.97,7,143
2,1917.99,4,69
3,648.6,4,28
3,354.09,4,266
3,1636.8999999999999,2,21
1,208.0,1,675
2,3064.07,6,30
1,330.0,1,445
3,284.13,2,96
1,311.55,1,294
0,3907.5,11,134
2,2994.02,7,78
1,650.9399999999999,4,372
2,2179.93,6,7
0,3688.0,6,210
1,177.92,1,382
1,575.1,1,458
1,55.47,1,692
1,68.25,1,619
1,1008.3199999999999,2,425
2,2792.5499999999997,6,51
3,299.57,2,137
2,3323.47,4,25
3,1092.35,3,282
2,2247.06,8,185
1,337.66999999999996,1,681
1,1676.95,3,374
3,744.02,3,83
0,3685.4900000000002,12,326
2,2027.3,3,281
1,873.42,2,384
2,1356.99,5,142
2,3751.79,4,57
3,854.99,2,235
3,573.22,3,44
1,640.13,2,381
3,298.0,1,275
3,1463.04,2,8
3,703.47,4,24
3,309.05,1,87
3,1175.22,3,62
3,1378.4,2,67
1,222.4,1,383
3,354.12,2,213
1,385.46000000000004,4,380
3,717.27,2,23
2,840.5,11,185
1,263.38,1,396
3,188.14,1,30
1,157.35,1,574
3,372.8,2,41
3,514.25,4,204
1,310.96000000000004,2,463
1,366.4,1,413
1,340.33,1,421
3,138.68,1,264
1,833.53,1,428
3,509.58,2,17
1,1018.42,2,576
2,2919.81,5,11
1,508.91,2,395
2,1776.0,5,175
0,3103.19,8,39
1,1680.47,1,551
2,1662.3,5,2
1,223.98,1,400
3,1174.75,4,148
0,4654.0199999999995,7,138
0,4359.2,6,127
2,1335.19,6,7
3,488.09000000000003,4,16
3,405.38,1,160
3,788.62,3,63
0,2461.45,12,87
3,729.3299999999999,3,4
1,1548.08,4,410
1,197.31,1,394
0,4304.89,12,34
1,117.85,1,311
3,415.8,2,77
2,1698.56,8,538
2,1687.03,8,23
1,181.65,1,736
0,4243.86,15,1
3,1063.9,4,16
0,3097.61,9,14
3,114.14,1,25
3,913.54,2,54
1,377.49,1,723
3,942.65,3,130
1,496.5,2,557
3,604.51,2,35
3,900.11,2,287
1,324.45,1,436
2,1908.03,6,143
